Id,College_Name,Address,EmailID,District,Website,Principal_Name,Office_Number,Personal_Number,Registar_Name,Status,Autonomy_Status,Minority_Status,Establishment,Course,Research
3001,Jamnalal Bajaj Institute of Management Studies- Mumbai,Dadabhai Navroji House- 164- Backbay Reclamation- H. T. Parekh Marg- Rd No.3- Churchgate Mumbai - 400020,director@jbims.edu,Mumbai City,www.jbims.edu,Dr. Kavita Laghate,22747700,22024052,Dr. Ajay Deshmukh,University Department,Non-Autonomous,Non-Minority,1965,Management,No
3002,Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE)- Mumbai,B-Road- Churchgate- Mumbai  400020,director@simsree.net,Mumbai City,www.simsree.org,DR.M.B.Bhide,61510701,61510700,Farooque T.Peerzada,Government,Non-Autonomous,Non-Minority,1983,Management,Yes
3003,Alkesh Dinesh Modi Institute for Financial & Management Studies- Mumbai,Joravar Bhavan-opp.new boys hostel- mumbai university Kalina Vidyanagari campus-Santacruz(E.)Mumbai- 400 098,director@admi.mu.ac.in,Mumbai Suburban,www.mu.ac.in,Dr Smita Shukla,26521680,65903680,Dr Smita Shukla,University Department,Non-Autonomous,Non-Minority,2003,Management,No
3004,Jankidevi Bajaj Institute of Management Studies- Santacruz- Mumbai,Sir Vithaldas Thackersey Vidya Vihar- Juhu Road- Santacruz(w)- Mumbai 400049,jdbims@sndt.ac.in,Mumbai Suburban,www.jdbims.net,Dr. Meera Shanker,26606626,26606607,Dr. Deepak Govind Deshpande,University Managed,Non-Autonomous,Non-Minority,1997,Management,No
3005,Government College of Pharmacy- Ratnagiri,Government Polytechnic Campus- Near Thiba Palace- Ratnagiri,bpharmratnagiri@gmail.com,Ratnagiri,www.gcopratnagiri.com,Dr. Rajendra Panditrao Marathe,221201,,Smt. Kumud Uday Purohit,Government,Non-Autonomous,Non-Minority,2009,Pharmacy,No
3006,Government Institute of Printing Technology- Mumbai,J.J School Of Architecture Compound- Near Cst Station- Mumbai 400001,gipt_m@rediffmail.com,Mumbai City,www.gipt.ac.in,MRS. M.S.DESHPANDE,20821474,,Mrs. Maya Waghmare,Government,Autonomous,Non-Minority,1956,Engineering,No
3007,Government Polytechnic- Mumbai,49- Ali Yawar Jung Marg- Kherwadi- Bandra(E)- Mumbai 400051,principal@gpmumbai.ac.in,Mumbai Suburban,www.gpmumbai.ac.in,Swati D Deshpande,26474780,,Swati D Deshpande,Government,Autonomous,Non-Minority,1960,Polytechnic,No
3008,Government Polytechnic- Pen,At Post Ramwadi- Tal.Pen- Dist.Raigad. Raigad - 402107,governmentpolytechnicpen@rediffmail.com,Raigad,www.gppen.ac.in,Dr. Sunil Sukhdeo Bhamre,9405691405,9405691405,Mrs. Sangita Chavan,Government,Non-Autonomous,Non-Minority,1990,Polytechnic,No
3009,Government Polytechnic- Ratnagiri,Near Thiba  Palace- Ratnagiri - 415612,office.gpratnagiri@dtemaharashtra.gov.in,Ratnagiri,www.gpratnagiri.org,SHRI. A. M. JADHAV,222435,222203,Shri. K. G. Narvekar,Government,Non-Autonomous,Non-Minority,1961,Polytechnic,No
3010,Government Polytechnic- Malvan,A/P Kumbharmath- Malvan- Sindhudurg - 416606,gpmalvan3010@gmail.com,Sindhudurg,www.gpmalvan.co.in,Dr. Suresh A. Patil,252223,251371,Mr. B. R. Ayare,Government,Non-Autonomous,Non-Minority,1985,Polytechnic,No
3011,Government Polytechnic- Thane,At Phadke Pada- Opp. Bharat Gears-Mumbra Shil Road-Opp Bharat  Ltd. Thane - 400612,principal.gpthane@dtemaharashtra.gov.in,Thane,www.gpthane.org.in,DR.NITIKET NIJANAND MHALA,9969601972,9284720100,AARTI MILIND PANCHMUKH,Government,Non-Autonomous,Non-Minority,1985,Polytechnic,No
3012,Veermata Jijabai Technological Institute(VJTI)- Matunga- Mumbai,H.R. Mahajani Marg- Matunga- Mumbai,director@vjti.org.in,Mumbai City,www.vjti.ac.in,Dr. Dhiren R. Patel,24198101,24198101,Dr. V. N. Palaskar,Government-Aided,Autonomous,Non-Minority,1887,Engineering,No
3013,Government Polytechnic- Vikramgad.,ZadPoli- Shil Road- at post Shil- Tal. Vikramgad- District Palghar,gpvikramgad11@gmail.com,Palghar,,Shri. Atul B. Borade,203133,203126,Dr. A.V.Peshve,Government,Non-Autonomous,Non-Minority,2011,Polytechnic,No
3014,Sardar Patel College of Engineering- Andheri,Munshi Nagar- Andheri (West)-  Mumbai - Suburban -Mumbai,principal@spce.ac.in,Mumbai Suburban,www.spce.ac.in,Dr. Priyadarshi H. Sawant,26232192,26708371,S.R.Vinerkar,Government-Aided,Autonomous,Non-Minority,1962,Engineering,No
3015,Prin. K.M. Kundnani College of Pharmacy- Mumbai,Plot No. 23- Jote Joy- Rambhau Salgaonkar Marg- Cuffe Parade Mumbai,kmkcp@rediffmail.com,Mumbai City,www.kmkcp.com,Dr. (Mrs.) Urmila J.Joshi,22164368,22165276,Mrs. Swarada Tendulkar,Government-Aided,Non-Autonomous,Linguistic Minority - Sindhi,1971,Pharmacy,No
3016,Bombay College of Pharmacy- Santacruz(E)- Mumbai,Kalina- Santacruz (E)- Mumbai,office.bcpindia@gmail.com,Mumbai Suburban,www.bcp.edu.in,Dr.Krishnapriya Mohanraj,26670871,266701027,B.G KAWADE,Government-Aided,Autonomous,Non-Minority,1957,Pharmacy,No
3017,C U Shah College of Pharmacy for Women- Mumbai,Sir Vithaldas Vidyavihar-(SNDT Women Uni)Juhu Road- Santacruz(w) Mumbai,cuscp@yahoo.co.in,Mumbai Suburban,sndt.ac.in,Dr. Mrs. Pratima A. Tatke,26608462,26609577,Mr. Sharad Namdeo Dangle,Government-Aided,Non-Autonomous,Non-Minority,1980,Pharmacy,No
